scenario,control,leaf_count,d3fend_countermeasures,matched_entry,level,confidence,rationale,leaves
RS-2,AU-6,11,Network Traffic Analysis; Client-server Payload Profiling; Network Traffic Community Deviation; Inbound Session Volume Analysis; Credential Compromise Scope Analysis; User Behavior Analysis,Network Traffic Analysis,technique,medium,"technique entry 'Network Traffic Analysis' in nist80053_d3fend.json: Inbound/outbound traffic monitoring, anomaly analysis, audit review. (D3FEND countermeasure was medium-confidence)",Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SI-4(11),9,Network Traffic Analysis; Client-server Payload Profiling; Network Traffic Community Deviation; Inbound Session Volume Analysis,Network Traffic Analysis,technique,medium,"technique entry 'Network Traffic Analysis' in nist80053_d3fend.json: Inbound/outbound traffic monitoring, anomaly analysis, audit review. (D3FEND countermeasure was medium-confidence)",Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SI-4(4),9,Network Traffic Analysis; Network Traffic Signature Analysis; Client-server Payload Profiling; Network Traffic Community Deviation; Inbound Session Volume Analysis,Network Traffic Analysis,technique,medium,"technique entry 'Network Traffic Analysis' in nist80053_d3fend.json: Inbound/outbound traffic monitoring, anomaly analysis, audit review. (D3FEND countermeasure was medium-confidence)",Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,AC-4,8,Network Traffic Filtering; Inbound Traffic Filtering,Network Traffic Filtering,technique,medium,technique entry 'Network Traffic Filtering' in nist80053_d3fend.json: Deny-by-default / allow-by-exception and information flow enforcement. (D3FEND countermeasure was medium-confidence),Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SC-32,8,Network Isolation,Network Isolation,technique,medium,"technique entry 'Network Isolation' in nist80053_d3fend.json: Boundary protection, isolation of components, system partitioning. (D3FEND countermeasure was medium-confidence)",Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SC-7,8,Network Isolation,Network Isolation,technique,medium,"technique entry 'Network Isolation' in nist80053_d3fend.json: Boundary protection, isolation of components, system partitioning. (D3FEND countermeasure was medium-confidence)",Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SC-7(21),8,Network Isolation,Network Isolation,technique,medium,"technique entry 'Network Isolation' in nist80053_d3fend.json: Boundary protection, isolation of components, system partitioning. (D3FEND countermeasure was medium-confidence)",Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SC-7(5),8,Network Traffic Filtering; Inbound Traffic Filtering,Network Traffic Filtering,technique,medium,technique entry 'Network Traffic Filtering' in nist80053_d3fend.json: Deny-by-default / allow-by-exception and information flow enforcement. (D3FEND countermeasure was medium-confidence),Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SI-4,8,Network Traffic Signature Analysis; Database Query String Analysis,Network Traffic Signature Analysis,technique,medium,technique entry 'Network Traffic Signature Analysis' in nist80053_d3fend.json: Signature-based intrusion / malicious code detection. (D3FEND countermeasure was medium-confidence),Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,IA-2,5,Agent Authentication; Biometric Authentication,Agent Authentication,technique,medium,"technique entry 'Agent Authentication' in nist80053_d3fend.json: Identification and authentication of users, devices and non-organizational users. (D3FEND countermeasure was medium-confidence)",Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
