Id,Requirement,Package,Project,Status,Satisfied by,Refined by,Derived,Traced,Function (FSA),Parent function,Functional block,Allocated block,Product block,Tests touching chain,Verified by
31,Enable information definition that facilitates trade studies for potential functional solutions,Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,Evaluate potential efficiency gains while implementing needed change,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
32,Enable information definition that facilitates trade studies for potential physical solutions,Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,ECP Impact Analysis,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
33,Enable information definition that facilitates trade studies for potential product solutions,Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
35,"Enable use of contextual, functional and performance measures",Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
34,Enable/facilitate MOSA compliance,Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
28,Represent related data over entire lifecycle,Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
29,Support multiple modeling methodologies.,Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
30,Support multiple tool implementation,Requirements - text-based,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
22,CI design constraint reqt,ABL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Design Constraint Reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
23,System Design Constraint Reqt,ABL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,derives CI design constraint reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
21,CI Functional Requirement,FBL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Element Functional Requirement,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
25,System Element Functional Requirement,FBL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Functional Requirement; derives CI Functional Requirement,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
24,System Functional Requirement,FBL Requirements,(U) CapyBARA,partial,GAP: no Satisfy,FBL System Activity,derives System Element Functional Requirement,GAP: no Trace,"FBL System Activity [Refine ->, Refine ->]",GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,Test Event (Realization -> Activity 'FBL System Activity'),GAP: no Verify
17,CI design constraint reqt,Requirements - Textual,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Design Constraint Reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
10,Capability-Level Requirement,Requirements - Textual,(U) CapyBARA,partial,System Activity; Focus System,GAP: no Refine,derives Performance-Level Requirement,-> DAU Website; -> MoE Standards of Task in Mission Thread,DAU Website [Trace ->]; System Activity [Satisfy <-]; Focus System [Satisfy <-],GAP: no activity calls the function,Focus System [Allocate ->]; Focus System,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,Event Evaluation AS
11,Performance-Level Requirement,Requirements - Textual,(U) CapyBARA,partial,System Activity; Focus System,ABL System Activity,from Capability-Level Requirement; derives Specification-Level Requirement,-> DAU Website; -> MoP Standards of Mission System in Mission Engineering Thread,DAU Website [Trace ->]; ABL System Activity [Refine ->]; System Activity [Satisfy <-]; Focus System [Satisfy <-],GAP: no activity calls the function,Focus System [Allocate ->]; Focus System,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,Test Event (Realization -> Activity 'ABL System Activity'); Test Procedure (TestDesignInput -> Activity 'ABL System Activity'),Event Evaluation AS
12,Specification-Level Requirement,Requirements - Textual,(U) CapyBARA,partial,System Activity; Focus System; Focus Subsystem,GAP: no Refine,from Performance-Level Requirement,<- Response Threshold Partition,Response Threshold Partition [Trace <-]; System Activity [Satisfy <-]; Focus System [Satisfy <-]; Focus Subsystem [Satisfy <-],GAP: no activity calls the function,Focus System [Allocate ->]; Focus System; Focus Subsystem,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,Event Evaluation AS
18,System Design Constraint Reqt,Requirements - Textual,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,derives CI design constraint reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
27,Capability-Level Requirement,CapyBARA Elements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,-> Measures of Effectiveness,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
26,Performance-Level Requirement,CapyBARA Elements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,-> Measures of Performance,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
43,CI design constraint reqt,ABL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Design Constraint Reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
