run,condition,slant_range_m,resolved_cycles,p_identify,identified,time_to_identify_s,cyber_branch,spoof_detected
1,day / clear,396.9,24.99,0.999,True,2.3,False,
2,day / clear,513.3,19.16,0.995,True,3.9,True,True
3,day / clear,602.9,14.94,0.975,True,4.5,False,
4,day / clear,672.7,14.83,0.974,True,3.3,False,
5,day / clear,703.1,12.65,0.942,True,5.0,False,
6,day / clear,753.9,12.67,0.942,True,5.3,False,
7,day / clear,788.7,11.3,0.904,True,8.2,True,True
8,day / clear,875.8,10.42,0.867,True,3.2,False,
9,day / clear,1008.0,10.28,0.86,True,7.4,False,
10,day / clear,1207.4,7.34,0.618,False,,False,
11,day / haze,388.4,20.71,0.997,True,6.7,False,
12,day / haze,517.3,17.38,0.99,True,3.3,False,
13,day / haze,613.2,14.05,0.966,True,5.1,True,True
14,day / haze,653.4,12.6,0.941,True,5.6,False,
15,day / haze,706.4,11.3,0.904,True,2.2,False,
16,day / haze,754.4,11.83,0.921,True,3.3,False,
17,day / haze,799.9,10.7,0.88,True,3.9,False,
18,day / haze,894.7,8.48,0.735,True,6.3,False,
19,day / haze,1004.6,6.91,0.566,False,,False,
20,day / haze,1195.5,7.3,0.613,False,,True,True
21,night / clear,401.8,23.11,0.999,True,3.7,False,
22,night / clear,494.9,17.07,0.989,True,3.5,True,False
23,night / clear,613.4,14.22,0.968,True,3.7,False,
24,night / clear,651.4,13.71,0.961,True,4.3,False,
25,night / clear,714.5,12.53,0.939,False,,False,
26,night / clear,746.9,10.91,0.888,True,5.1,False,
27,night / clear,803.7,13.06,0.95,False,,False,
28,night / clear,907.6,8.12,0.702,False,,True,True
29,night / clear,998.2,8.95,0.775,True,4.5,False,
30,night / clear,1212.6,7.02,0.58,False,,False,
31,night / haze,411.0,17.87,0.992,True,3.3,True,True
32,night / haze,518.6,13.0,0.949,True,6.8,True,True
33,night / haze,617.7,11.12,0.897,True,4.5,False,
34,night / haze,639.3,13.79,0.962,False,,False,
35,night / haze,676.3,12.83,0.946,True,3.4,True,False
36,night / haze,752.3,9.51,0.815,False,,False,
37,night / haze,793.9,8.79,0.762,True,6.9,False,
38,night / haze,915.5,7.2,0.601,True,5.2,True,True
39,night / haze,999.3,8.37,0.726,True,8.3,False,
40,night / haze,1177.5,5.75,0.411,False,,False,
41,day / clear,385.2,24.44,0.999,True,2.4,True,True
42,day / clear,502.2,17.7,0.991,True,5.5,False,
43,day / clear,584.8,15.88,0.983,True,2.4,True,True
44,day / clear,652.0,12.85,0.946,True,4.0,False,
45,day / clear,681.6,13.67,0.96,True,4.4,False,
46,day / clear,742.3,10.46,0.868,False,,False,
47,day / clear,773.2,11.17,0.899,True,3.6,False,
48,day / clear,908.0,10.73,0.881,True,7.6,False,
49,day / clear,1010.8,10.63,0.877,True,7.4,False,
50,day / clear,1222.6,7.62,0.649,True,5.6,False,
51,day / haze,403.5,22.83,0.999,True,3.9,False,
52,day / haze,489.8,15.92,0.983,True,5.2,True,True
53,day / haze,618.8,12.43,0.937,True,5.0,True,True
54,day / haze,645.2,11.93,0.924,True,5.4,False,
55,day / haze,721.9,12.74,0.944,True,3.5,False,
56,day / haze,749.3,11.93,0.924,True,3.7,True,True
57,day / haze,803.1,11.47,0.91,True,5.7,False,
58,day / haze,904.8,10.19,0.855,True,6.7,True,True
59,day / haze,1005.2,8.28,0.717,False,,False,
60,day / haze,1177.2,7.25,0.607,True,6.4,False,
61,night / clear,387.5,26.49,1.0,True,4.6,False,
62,night / clear,506.0,17.64,0.991,True,4.9,True,True
63,night / clear,613.2,12.06,0.927,True,3.7,False,
64,night / clear,643.2,13.83,0.963,True,3.5,True,True
65,night / clear,686.0,13.02,0.949,True,4.3,False,
66,night / clear,760.2,12.17,0.93,True,2.9,True,True
67,night / clear,780.3,10.9,0.888,True,4.2,False,
68,night / clear,911.4,10.95,0.89,True,8.8,False,
69,night / clear,1002.5,8.31,0.72,True,5.8,False,
70,night / clear,1207.3,6.46,0.507,False,,False,
71,night / haze,397.0,17.75,0.991,True,2.9,True,False
72,night / haze,484.3,14.8,0.974,True,5.1,True,True
73,night / haze,599.8,11.17,0.899,True,5.1,False,
74,night / haze,649.9,12.07,0.928,True,5.3,False,
75,night / haze,713.8,10.38,0.865,True,4.6,False,
